dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,activities-activityCalories,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
12/29/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/30/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/31/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/1/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/2/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/3/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/4/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/5/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/6/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/7/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/8/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/9/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/10/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/11/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/12/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/13/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/14/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/15/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/16/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/17/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/18/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/19/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/20/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/21/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/22/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/23/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/24/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/25/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/26/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/27/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/28/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/29/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/30/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
1/31/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
2/1/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
2/2/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
2/3/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
2/4/2014,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
